Date,E_ID,R_ID,Time,Cl2 (mg/L),Cu (mg/L),pH,T (°C),EC (μS/cm),UV254,cATP,cATP (pg/mL),THM (μg/L),TCC (#/mL),HNAP (%),cATP0
10/16/24,CVF,1,0,0.000,0.601,7.87,21.2,873.5,0.049,23,0.49,60.7,11970,36.2%,9362
10/16/24,CVF,1,2,0.006,0.319,7.79,22.8,879.3,0.040,30,0.64,64.6,8920,43.7%,9362
10/16/24,CVF,1,4,0.024,0.365,7.79,22.6,871.1,0.040,64,1.37,61.2,12510,40.8%,9362
10/16/24,CVF,1,8,0.075,0.331,7.78,22.1,869.8,0.038,12,0.26,57.2,14440,40.1%,9362
10/17/24,CVF,2,0,0.000,0.703,7.79,20.9,869.1,0.051,25,0.59,60.4,7990,38.4%,8546
10/17/24,CVF,2,2,0.012,0.316,7.74,22.9,872.1,0.040,24,0.56,63.8,16910,63.5%,8546
10/17/24,CVF,2,4,0.029,0.266,7.74,22.5,869.8,0.039,42,0.98,63.9,14760,61.4%,8546
10/17/24,CVF,2,8,0.104,0.234,7.72,21.9,868.6,0.038,26,0.61,59.5,10050,56.5%,8546
10/18/24,SS,1,0,0.148,0.164,7.67,26.8,879.4,0.036,39,1.17,61.3,9170,58.7%,6641
10/18/24,SS,1,4,0.007,0.718,7.74,20.8,871.9,0.050,29,0.87,62.6,10660,53.0%,6641
10/18/24,SS,1,8,0.000,0.736,7.77,20.0,874.0,0.051,46,1.39,63.0,10410,53.0%,6641
10/18/24,SS,1,12,0.000,0.900,7.76,20.7,872.0,0.054,16,0.48,61.9,10430,54.4%,6641
10/19/24,SS,1,24,0.000,1.116,7.73,20.8,874.3,0.056,21,0.50,63.3,11870,51.6%,8484
10/19/24,SS,1,36,0.000,1.184,7.90,20.2,878.4,0.065,57,1.34,62.1,13900,58.9%,8484
10/20/24,SS,1,48,0.000,1.229,7.89,20.8,868.2,0.066,779,26.99,62.5,43710,76.1%,5773
10/20/24,SS,1,60,0.000,1.275,7.99,20.6,872.5,0.066,1778,53.55,63.9,157480,83.1%,5773
10/21/24,SS,1,72,0.000,1.298,7.93,20.0,880.3,0.070,2273,56.51,63.6,234820,63.5%,8045
10/22/24,SS,1,96,0.000,1.127,8.08,20.7,871.3,0.065,4595,49.13,63.2,NA,NA,18704
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
