t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,25,C,0:00:00,31:50.1,6.77,4,7.613,1081,22.375,Closed
10,25,C,0:00:10,32:00.1,6.78,3.8,7.613,1081,22.376,Closed
20,25,C,0:00:20,32:10.1,6.79,5.4,7.613,1081,22.374,Closed
30,25,C,0:00:30,32:20.1,6.79,12,7.613,1082,22.375,Closed
40,25,C,0:00:40,32:30.1,6.8,15.3,7.61,1082,22.378,Closed
50,25,C,0:00:50,32:40.1,6.82,7.4,7.61,1082,22.382,Closed
60,25,C,0:01:00,32:50.1,6.83,10.7,7.609,1082,22.385,Closed
70,25,C,0:01:10,33:00.1,6.84,7.7,7.613,1083,22.391,Closed
80,25,C,0:01:20,33:10.1,6.84,3,7.61,1083,22.396,Closed
90,25,C,0:01:30,33:20.1,6.84,1.2,7.61,1084,22.401,Closed
100,25,C,0:01:40,33:30.1,6.82,-1.5,7.608,1084,22.406,Closed
110,25,C,0:01:50,33:40.1,6.79,-5.1,7.61,1084,22.41,Closed
120,25,C,0:02:00,33:50.1,6.71,-2.3,7.61,1085,22.414,Closed
130,25,C,0:02:10,34:00.1,6.64,-1.6,7.611,1085,22.422,Closed
140,25,C,0:02:20,34:10.1,6.57,-7,7.605,1085,22.427,Closed
150,25,C,0:02:30,34:20.1,6.5,4.1,7.607,1085,22.435,Closed
160,25,C,0:02:40,34:30.1,6.43,-2.3,7.605,1086,22.438,Closed
170,25,C,0:02:50,34:40.1,6.37,0.6,7.607,1086,22.445,Closed
180,25,C,0:03:00,34:50.1,6.51,17.1,7.607,1086,22.452,Closed
190,25,C,0:03:10,35:00.1,6.62,4.2,7.607,1086,22.457,Closed
200,25,C,0:03:20,35:10.1,6.69,-7.8,7.608,1086,22.463,Closed
210,25,C,0:03:30,35:20.1,6.73,-9.7,7.609,1086,22.47,Closed
220,25,C,0:03:40,35:30.1,6.76,-8.6,7.607,1086,22.478,Closed
230,25,C,0:03:50,35:40.1,6.79,-9.8,7.604,1087,22.482,Closed
240,25,C,0:04:00,35:50.1,6.8,-20.4,7.604,1087,22.486,Closed
250,25,C,0:04:10,36:00.1,6.81,-7.8,7.607,1087,22.492,Closed
260,25,C,0:04:20,36:10.1,6.81,-18.6,7.605,1087,22.499,Closed
270,25,C,0:04:30,36:20.1,6.84,6.2,7.609,1087,22.502,Closed
280,25,C,0:04:40,36:30.1,6.86,-12.4,7.604,1087,22.508,Closed
290,25,C,0:04:50,36:40.1,6.87,-19.8,7.605,1088,22.513,Closed
300,25,C,0:05:00,36:50.1,6.9,-12.6,7.605,1088,22.518,Closed
310,25,C,0:05:10,37:00.1,6.92,-17.8,7.605,1087,22.524,Closed
320,25,C,0:05:20,37:10.1,6.93,-15,7.604,1088,22.53,Closed
330,25,C,0:05:30,37:20.1,6.94,-10.4,7.605,1088,22.533,Closed
340,25,C,0:05:40,37:30.1,6.96,-19.7,7.601,1088,22.537,Closed
350,25,C,0:05:50,37:40.1,6.97,-23.9,7.603,1088,22.54,Closed
360,25,C,0:06:00,37:50.1,6.99,-16.7,7.602,1088,22.544,Closed
370,25,C,0:06:10,38:00.1,7,-12.9,7.601,1088,22.545,Closed
380,25,C,0:06:20,38:10.1,7.01,-22.4,7.603,1088,22.548,Closed
390,25,C,0:06:30,38:20.1,7.01,-18.5,7.601,1088,22.553,Closed
400,25,C,0:06:40,38:30.1,6.99,-24.4,7.6,1088,22.556,Closed
410,25,C,0:06:50,38:40.1,6.84,-19.5,7.603,1088,22.559,Closed
420,25,C,0:07:00,38:50.1,6.78,-13.2,7.6,1088,22.565,Closed
430,25,C,0:07:10,39:00.1,6.69,-19.4,7.6,1088,22.571,Closed
440,25,C,0:07:20,39:10.1,6.73,-21.4,7.601,1089,22.575,Closed
450,25,C,0:07:30,39:20.1,6.77,-18.2,7.599,1088,22.579,Closed
460,25,C,0:07:40,39:30.1,6.83,-15.6,7.601,1088,22.581,Closed
470,25,C,0:07:50,39:40.1,6.86,-19,7.601,1088,22.582,Closed
480,25,C,0:08:00,39:50.1,6.88,-22.4,7.599,1089,22.587,Closed
490,25,C,0:08:10,40:00.1,6.89,-0.7,7.598,1089,22.59,Closed
500,25,C,0:08:20,40:10.1,6.91,0.8,7.597,1089,22.593,Closed
510,25,C,0:08:30,40:20.1,6.92,-15.9,7.598,1089,22.596,Closed
520,25,C,0:08:40,40:30.1,6.95,-11.6,7.598,1088,22.6,Closed
530,25,C,0:08:50,40:40.1,6.97,-6.4,7.601,1089,22.605,Closed
540,25,C,0:09:00,40:50.1,6.92,-14.1,7.602,1089,22.609,Closed
550,25,C,0:09:10,41:00.1,6.96,-12.7,7.599,1089,22.611,Closed
560,25,C,0:09:20,41:10.1,7.03,-11.7,7.598,1089,22.614,Closed
570,25,C,0:09:30,41:20.1,7.07,-10,7.601,1089,22.619,Closed
580,25,C,0:09:40,41:30.1,7.06,-15,7.603,1089,22.621,Closed
590,25,C,0:09:50,41:40.1,7.05,-15.1,7.602,1089,22.625,Closed
600,25,C,0:10:00,41:50.1,7.06,-19.5,7.601,1089,22.629,Closed
610,25,C,0:10:10,42:00.1,7.07,-8.6,7.599,1088,22.636,Closed
620,25,C,0:10:20,42:10.1,7.07,-9,7.596,1088,22.637,Closed
630,25,C,0:10:30,42:20.1,7.06,23.9,7.599,1089,22.64,Closed
640,25,C,0:10:40,42:30.1,7.06,13.7,7.599,1089,22.639,Closed
650,25,C,0:10:50,42:40.1,7.05,5.7,7.599,1089,22.641,Closed
660,25,C,0:11:00,42:50.1,7.06,6.9,7.601,1089,22.643,Closed
670,25,C,0:11:10,43:00.1,7.07,45.7,7.599,1089,22.645,Closed
680,25,C,0:11:20,43:10.1,7.09,11.7,7.6,1088,22.647,Closed
690,25,C,0:11:30,43:20.1,7.09,7.5,7.6,1089,22.645,Closed
700,25,C,0:11:40,43:30.1,7.1,6.2,7.599,1088,22.649,Closed
710,25,C,0:11:50,43:40.1,7.11,3,7.6,1088,22.649,Closed
720,25,C,0:12:00,43:50.1,7.11,2.4,7.599,1088,22.649,Closed
730,25,C,0:12:10,44:00.1,7.12,38.7,7.6,1088,22.654,Closed
740,25,C,0:12:20,44:10.1,7.12,33.3,7.602,1088,22.656,Closed
750,25,C,0:12:30,44:20.1,7.12,45.2,7.598,1088,22.657,Closed
760,25,C,0:12:40,44:30.1,7.11,38.1,7.597,1088,22.658,Closed
770,25,C,0:12:50,44:40.1,7.1,30.9,7.598,1088,22.657,Closed
780,25,C,0:13:00,44:50.1,7.04,33.3,7.599,1088,22.66,Closed
790,25,C,0:13:10,45:00.1,6.96,28.7,7.598,1088,22.662,Closed
800,25,C,0:13:20,45:10.1,6.86,27.1,7.597,1088,22.666,Closed
810,25,C,0:13:30,45:20.1,6.83,27.9,7.599,1087,22.667,Closed
820,25,C,0:13:40,45:30.1,6.85,43.7,7.598,1087,22.668,Closed
830,25,C,0:13:50,45:40.1,6.84,36.2,7.596,1087,22.672,Closed
840,25,C,0:14:00,45:50.1,6.83,30.6,7.597,1087,22.671,Closed
850,25,C,0:14:10,46:00.1,6.9,25.9,7.6,1087,22.67,Closed
860,25,C,0:14:20,46:10.1,6.95,57.2,7.601,1087,22.672,Closed
870,25,C,0:14:30,46:20.1,6.99,35.4,7.603,1087,22.672,Closed
880,25,C,0:14:40,46:30.1,7.02,34.4,7.603,1087,22.674,Closed
890,25,C,0:14:50,46:40.1,7.04,32.6,7.601,1087,22.676,Closed
900,25,C,0:15:00,46:50.1,7.07,25.8,7.599,1087,22.677,Closed
910,25,C,0:15:10,47:00.1,7.08,30.4,7.599,1086,22.68,Closed
920,25,C,0:15:20,47:10.1,7.09,31.2,7.598,1087,22.682,Closed
930,25,C,0:15:30,47:20.1,7.1,27.4,7.599,1086,22.682,Closed
940,25,C,0:15:40,47:30.1,7.06,25.1,7.599,1087,22.683,Closed
950,25,C,0:15:50,47:40.1,7.04,15.7,7.601,1086,22.685,Closed
960,25,C,0:16:00,47:50.1,7.05,33.5,7.596,1086,22.686,Closed
970,25,C,0:16:10,48:00.1,7.05,17.8,7.598,1086,22.688,Closed
980,25,C,0:16:20,48:10.1,7.08,17.4,7.599,1086,22.689,Closed
990,25,C,0:16:30,48:20.1,7.1,15,7.597,1086,22.692,Closed
1000,25,C,0:16:40,48:30.1,7.11,20.2,7.599,1086,22.693,Closed
1010,25,C,0:16:50,48:40.1,7.12,16,7.596,1086,22.696,Closed
1020,25,C,0:17:00,48:50.1,7.12,14.2,7.599,1085,22.695,Closed
1030,25,C,0:17:10,49:00.1,7.12,14.7,7.594,1085,22.696,Closed
1040,25,C,0:17:20,49:10.1,7.1,12.8,7.601,1085,22.699,Closed
1050,25,C,0:17:30,49:20.1,7.07,11.1,7.594,1085,22.7,Closed
1060,25,C,0:17:40,49:30.1,7.06,12.5,7.592,1085,22.702,Closed
1070,25,C,0:17:50,49:40.1,7.09,10.1,7.596,1085,22.703,Closed
1080,25,C,0:18:00,49:50.1,7.1,7.1,7.596,1085,22.704,Closed
1090,25,C,0:18:10,50:00.1,7.12,14.6,7.595,1084,22.706,Closed
1100,25,C,0:18:20,50:10.1,7.12,6.6,7.597,1085,22.706,Closed
1110,25,C,0:18:30,50:20.1,7.11,11.2,7.594,1084,22.705,Closed
1120,25,C,0:18:40,50:30.1,7.1,7,7.596,1085,22.709,Closed
1130,25,C,0:18:50,50:40.1,7.08,11.4,7.596,1084,22.711,Closed
1140,25,C,0:19:00,50:50.1,7.09,11.7,7.593,1084,22.712,Closed
1150,25,C,0:19:10,51:00.1,7.08,5.5,7.593,1084,22.712,Closed
1160,25,C,0:19:20,51:10.1,7.07,11,7.598,1084,22.714,Closed
1170,25,C,0:19:30,51:20.1,7.03,16.2,7.596,1082,22.714,Closed
1180,25,C,0:19:40,51:30.1,6.99,13.2,7.596,1081,22.712,Closed
1190,25,C,0:19:50,51:40.1,6.96,13.4,7.598,1081,22.709,Closed
1200,25,C,0:20:00,51:50.1,6.9,7.9,7.596,1081,22.71,Closed
1210,25,C,0:20:10,52:00.1,6.85,8,7.597,1080,22.71,Closed
1220,25,C,0:20:20,52:10.1,6.82,13.6,7.598,1080,22.711,Closed
