t (s),E_ID,S_ID,t (h),Timestamp,DO,ORP,pH,EC,Temp,Valve_Position
0,50,A1,0:00,22:00.1,4.28,256.9,7.827,1089,21.687,Closed
10,50,A1,0:00,22:10.1,4.28,256.4,7.829,1089,21.684,Closed
20,50,A1,0:00,22:20.1,4.28,256.4,7.828,1089,21.683,Closed
30,50,A1,0:00,22:30.1,4.28,257.1,7.828,1089,21.683,Closed
40,50,A1,0:00,22:40.1,4.28,258.2,7.83,1089,21.678,Closed
50,50,A1,0:00,22:50.1,4.28,257.5,7.829,1089,21.676,Closed
60,50,A1,0:01,23:00.1,4.28,257,7.828,1089,21.674,Closed
70,50,A1,0:01,23:10.1,4.29,256.7,7.828,1089,21.671,Closed
80,50,A1,0:01,23:20.1,4.29,257.8,7.831,1089,21.67,Closed
90,50,A1,0:01,23:30.1,4.29,256.1,7.831,1089,21.668,Closed
100,50,A1,0:01,23:40.1,4.29,255.8,7.829,1089,21.667,Closed
110,50,A1,0:01,23:50.1,4.29,256.5,7.827,1089,21.664,Closed
120,50,A1,0:02,24:00.1,4.3,257.3,7.831,1089,21.663,Closed
130,50,A1,0:02,24:10.1,4.29,257.2,7.828,1089,21.663,Closed
140,50,A1,0:02,24:20.1,4.29,256.9,7.826,1089,21.664,Closed
150,50,A1,0:02,24:30.1,4.29,258.1,7.83,1089,21.668,Closed
160,50,A1,0:02,24:40.1,4.29,256.1,7.829,1089,21.666,Closed
170,50,A1,0:02,24:50.1,4.29,256,7.828,1089,21.664,Closed
180,50,A1,0:03,25:00.1,4.29,256.4,7.826,1088,21.663,Closed
190,50,A1,0:03,25:10.1,4.29,256.8,7.829,1088,21.663,Closed
200,50,A1,0:03,25:20.1,4.29,256.7,7.828,1088,21.665,Closed
210,50,A1,0:03,25:30.1,4.3,256.7,7.829,1088,21.662,Closed
220,50,A1,0:03,25:40.1,4.3,256.2,7.829,1088,21.664,Closed
230,50,A1,0:03,25:50.1,4.3,256,7.83,1088,21.662,Closed
